timestamp,level,action,session_id,device_id,details
2025-12-15T16:58:32.194Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:32.403Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:32.630Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:32.813Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:33.018Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:33.233Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:33.432Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:33.643Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:33.835Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T16:58:34.067Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T17:00:10.321Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T17:30:00.010Z,INFO,IDENTITY_REGISTERED,,15569bfe-5690-47be-aee7-473bb1da0ca5,"New device identity created"
2025-12-15T17:30:04.260Z,INFO,ATTENDANCE_RECORDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,""
2025-12-15T17:30:18.380Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T17:30:29.819Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T17:32:12.456Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T17:33:19.488Z,INFO,IDENTITY_REGISTERED,,15569bfe-5690-47be-aee7-473bb1da0ca5,"New device identity created"
2025-12-15T17:33:31.245Z,INFO,ATTENDANCE_RECORDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,""
2025-12-15T17:34:02.793Z,WARN,RATE_LIMIT_EXCEEDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,"More than 2 scan attempts"
2025-12-15T17:38:40.074Z,INFO,IDENTITY_REGISTERED,,15569bfe-5690-47be-aee7-473bb1da0ca5,"New device identity created"
2025-12-15T17:38:42.744Z,INFO,ATTENDANCE_RECORDED,WS-D1-S1,15569bfe-5690-47be-aee7-473bb1da0ca5,""
2025-12-15T17:39:27.864Z,INFO,ATTENDANCE_RECORDED,WS-D1-S2,15569bfe-5690-47be-aee7-473bb1da0ca5,""
2025-12-15T17:39:49.449Z,INFO,ATTENDANCE_RECORDED,WS-D1-S3,15569bfe-5690-47be-aee7-473bb1da0ca5,""
2025-12-15T17:40:08.900Z,INFO,ATTENDANCE_RECORDED,WS-D1-S4,15569bfe-5690-47be-aee7-473bb1da0ca5,""
